,name,date,passive,q,w,e,r,total,date_float
0,Aatrox,2013-06-13,122,48,54,24,65,313,1371081600.0
1,Ahri,2011-12-14,67,27,38,39,40,211,1323820800.0
2,Akali,2010-05-11,121,44,38,40,49,292,1273536000.0
3,Alistar,2009-02-21,97,19,15,55,18,204,1235174400.0
4,Amumu,2009-06-26,45,25,24,40,20,154,1245974400.0
5,Anivia,2009-07-10,59,64,22,25,61,231,1247184000.0
6,Annie,2009-02-21,64,25,12,41,66,208,1235174400.0
7,Aphelios,2019-12-11,228,0,7,0,49,284,1576022400.0
8,Ashe,2009-02-21,82,44,30,36,38,230,1235174400.0
9,AurelionSol,2016-03-24,90,50,53,42,32,267,1458777600.0
10,Azir,2014-09-16,81,49,147,58,59,394,1410825600.0
11,Bard,2015-03-12,209,56,90,46,51,452,1426118400.0
12,Blitzcrank,2009-09-02,34,19,34,19,48,154,1251849600.0
13,Brand,2011-04-12,192,29,24,28,51,324,1302566400.0
14,Braum,2014-05-12,119,38,46,55,77,335,1399852800.0
15,Caitlyn,2011-01-04,121,46,54,30,39,290,1294099200.0
16,Camille,2016-12-07,62,73,56,79,55,325,1481068800.0
17,Cassiopeia,2010-12-14,33,36,32,45,36,182,1292284800.0
18,Chogath,2009-06-26,32,30,16,31,60,169,1245974400.0
19,Corki,2009-09-19,124,44,81,65,48,362,1253318400.0
20,Darius,2012-05-23,165,63,40,30,72,370,1337731200.0
21,Diana,2012-08-07,93,31,59,29,59,271,1344297600.0
22,DrMundo,2009-09-02,13,46,28,77,23,187,1251849600.0
23,Draven,2012-06-06,108,41,38,25,45,257,1338940800.0
24,Ekko,2015-05-29,118,46,56,25,48,293,1432857600.0
25,Elise,2012-10-26,82,17,31,18,30,178,1351209600.0
26,Evelynn,2009-05-01,75,64,91,71,30,331,1241136000.0
27,Ezreal,2010-03-16,46,27,56,24,26,179,1268697600.0
28,Fiddlesticks,2009-02-21,129,70,56,30,26,311,1235174400.0
29,Fiora,2012-02-29,114,44,60,36,97,351,1330473600.0
30,Fizz,2011-11-15,28,17,77,60,82,264,1321315200.0
31,Galio,2010-08-10,59,35,89,44,53,280,1281398400.0
32,Gangplank,2009-08-19,89,43,23,105,51,311,1250640000.0
33,Garen,2010-04-27,66,36,73,53,23,251,1272326400.0
34,Gnar,2014-08-14,267,94,82,91,58,592,1407974400.0
35,Gragas,2010-02-02,16,62,41,43,18,180,1265068800.0
36,Graves,2011-10-19,173,38,33,63,43,350,1318982400.0
37,Hecarim,2012-04-18,23,45,29,49,39,185,1334707200.0
38,Heimerdinger,2009-10-10,21,30,62,50,125,288,1255132800.0
39,Illaoi,2015-11-24,85,27,30,89,48,279,1448323200.0
40,Irelia,2010-11-16,100,30,51,56,60,297,1289865600.0
41,Ivern,2016-10-05,261,35,40,48,57,441,1475625600.0
42,Janna,2009-09-02,47,55,41,45,32,220,1251849600.0
43,JarvanIV,2011-03-01,48,44,28,39,40,199,1298937600.0
44,Jax,2009-02-21,74,21,22,66,35,218,1235174400.0
45,Jayce,2012-07-07,29,28,33,23,32,145,1341619200.0
46,Jhin,2016-02-01,161,52,65,68,57,403,1454284800.0
47,Jinx,2013-10-10,57,73,31,36,44,241,1381363200.0
48,Kaisa,2018-03-07,157,90,104,89,27,467,1520380800.0
49,Kalista,2014-11-20,117,44,61,71,35,328,1416441600.0
50,Karma,2011-02-01,41,32,42,25,79,219,1296518400.0
51,Karthus,2009-06-12,70,27,37,30,18,182,1244764800.0
52,Kassadin,2009-08-07,14,27,42,44,52,179,1249603200.0
53,Katarina,2009-09-19,115,30,20,74,71,310,1253318400.0
54,Kayle,2009-02-21,169,49,26,48,27,319,1235174400.0
55,Kayn,2017-07-12,345,43,47,82,74,591,1499817600.0
56,Kennen,2010-04-08,76,15,37,80,53,261,1270684800.0
57,Khazix,2012-09-27,63,24,31,10,91,219,1348704000.0
58,Kindred,2015-10-14,260,53,132,91,51,587,1444780800.0
59,Kled,2016-08-10,146,101,58,70,72,447,1470787200.0
60,KogMaw,2010-06-24,74,48,30,32,58,242,1277337600.0
61,Leblanc,2010-11-02,69,42,37,58,44,250,1288656000.0
62,LeeSin,2011-04-01,43,67,67,59,47,283,1301616000.0
63,Leona,2011-07-13,43,18,63,31,38,193,1310515200.0
64,Lillia,2020-07-22,32,44,22,45,39,182,1595376000.0
65,Lissandra,2013-04-30,73,37,20,25,76,231,1367280000.0
66,Lucian,2013-08-22,106,13,53,24,44,240,1377129600.0
67,Lulu,2012-03-20,115,47,58,82,31,333,1332201600.0
68,Lux,2010-10-19,37,25,24,42,19,147,1287446400.0
69,Malphite,2009-09-02,58,31,60,23,31,203,1251849600.0
70,Malzahar,2010-06-01,69,24,43,51,40,227,1275350400.0
71,Maokai,2011-02-16,77,22,33,76,32,240,1297814400.0
72,MasterYi,2009-02-21,100,53,37,16,56,262,1235174400.0
73,MissFortune,2010-09-08,47,40,47,22,45,201,1283904000.0
74,MonkeyKing,2011-07-26,68,55,43,54,56,276,1311638400.0
75,Mordekaiser,2010-02-24,113,24,56,22,48,263,1266969600.0
76,Morgana,2009-02-21,22,24,49,25,64,184,1235174400.0
77,Nami,2012-12-07,31,17,72,41,53,214,1354838400.0
78,Nasus,2009-10-01,17,43,35,52,63,210,1254355200.0
79,Nautilus,2012-02-14,41,38,36,32,45,192,1329177600.0
80,Neeko,2018-12-05,98,39,62,38,60,297,1543968000.0
81,Nidalee,2009-12-17,109,58,73,49,42,331,1261008000.0
82,Nocturne,2011-03-15,83,50,46,45,41,265,1300147200.0
83,Nunu,2009-02-21,119,57,72,80,74,402,1235174400.0
84,Olaf,2010-06-09,15,45,29,30,71,190,1276041600.0
85,Orianna,2011-06-01,141,33,51,56,26,307,1306886400.0
86,Ornn,2017-08-23,315,47,70,49,91,572,1503446400.0
87,Pantheon,2010-02-02,57,81,41,70,94,343,1265068800.0
88,Poppy,2010-01-13,93,51,69,44,88,345,1263340800.0
89,Pyke,2018-05-31,99,47,41,45,96,328,1527724800.0
90,Qiyana,2019-06-28,58,123,76,41,69,367,1561680000.0
91,Quinn,2013-03-01,123,59,38,43,82,345,1362096000.0
92,Rakan,2017-04-19,104,51,21,29,45,250,1492560000.0
93,Rammus,2009-07-10,27,91,97,38,45,298,1247184000.0
94,RekSai,2014-12-11,76,21,44,23,40,204,1418256000.0
95,Rell,2020-12-09,121,61,63,73,35,353,1607472000.0
96,Renekton,2011-01-18,74,119,95,117,43,448,1295308800.0
97,Rengar,2012-08-21,209,50,72,51,138,520,1345507200.0
98,Riven,2011-09-14,53,103,29,28,71,284,1315958400.0
99,Rumble,2011-04-26,93,39,46,61,56,295,1303776000.0
100,Ryze,2009-02-21,10,85,36,41,50,222,1235174400.0
101,Samira,2020-09-21,273,40,28,37,58,436,1600646400.0
102,Sejuani,2012-01-17,110,27,39,37,76,289,1326758400.0
103,Senna,2019-11-10,95,41,37,51,35,259,1573344000.0
104,Seraphine,2020-10-29,188,29,73,42,44,376,1603929600.0
105,Sett,2020-01-14,102,39,84,48,62,335,1578960000.0
106,Shaco,2009-10-10,49,82,95,74,103,403,1255132800.0
107,Shen,2010-03-24,66,105,58,44,50,323,1269388800.0
108,Shyvana,2011-11-01,62,71,72,102,50,357,1320105600.0
109,Singed,2009-04-18,42,15,19,37,29,142,1240012800.0
110,Sion,2009-02-21,108,61,66,50,87,372,1235174400.0
111,Sivir,2009-02-21,30,42,50,31,38,191,1235174400.0
112,Skarner,2011-08-09,215,70,42,93,51,471,1312848000.0
113,Sona,2010-09-21,91,60,63,63,42,319,1285027200.0
114,Soraka,2009-02-21,21,54,38,44,30,187,1235174400.0
115,Swain,2010-10-05,128,25,44,39,85,321,1286236800.0
116,Sylas,2019-01-25,126,37,41,37,63,304,1548374400.0
117,Syndra,2012-09-13,12,27,50,39,40,168,1347494400.0
118,TahmKench,2015-07-09,69,58,100,48,61,336,1436400000.0
119,Taliyah,2016-05-18,76,68,45,76,40,305,1463529600.0
120,Talon,2011-08-24,91,49,35,23,63,261,1314144000.0
121,Taric,2009-08-19,58,54,61,31,22,226,1250640000.0
122,Teemo,2009-02-21,102,17,44,24,71,258,1235174400.0
123,Thresh,2013-01-23,68,59,73,87,68,355,1358899200.0
124,Tristana,2009-02-21,37,14,37,84,22,194,1235174400.0
125,Trundle,2010-12-01,22,48,33,26,48,177,1291161600.0
126,Tryndamere,2009-05-01,57,36,32,47,27,199,1241136000.0
127,TwistedFate,2009-02-21,32,13,68,22,38,173,1235174400.0
128,Twitch,2009-05-01,78,61,54,51,52,296,1241136000.0
129,Udyr,2009-12-02,145,56,38,41,45,325,1259712000.0
