,name,date,passive,q,w,e,r,total,date_float
96,Renekton,2011-01-18,20,119,95,117,43,394,1295308800.0
106,Shaco,2009-10-10,13,82,95,74,103,367,1255132800.0
97,Rengar,2012-08-21,51,50,72,51,138,362,1345507200.0
58,Kindred,2015-10-14,25,53,132,91,51,352,1444780800.0
34,Gnar,2014-08-14,26,94,82,91,58,351,1407974400.0
59,Kled,2016-08-10,47,101,58,70,72,348,1470787200.0
48,Kaisa,2018-03-07,29,90,104,89,27,339,1520380800.0
10,Azir,2014-09-16,16,49,147,58,59,329,1410825600.0
108,Shyvana,2011-11-01,28,71,72,102,50,323,1320105600.0
90,Qiyana,2019-06-28,12,123,76,41,69,321,1561680000.0
118,TahmKench,2015-07-09,42,58,100,48,61,309,1436400000.0
147,Zac,2013-03-29,75,71,28,57,77,308,1364515200.0
83,Nunu,2009-02-21,25,57,72,80,74,308,1235174400.0
123,Thresh,2013-01-23,18,59,73,87,68,305,1358899200.0
55,Kayn,2017-07-12,57,43,47,82,74,303,1499817600.0
11,Bard,2015-03-12,57,56,90,46,51,300,1426118400.0
112,Skarner,2011-08-09,40,70,42,93,51,296,1312848000.0
87,Pantheon,2010-02-02,10,81,41,70,94,296,1265068800.0
46,Jhin,2016-02-01,52,52,65,68,57,294,1454284800.0
131,Varus,2012-05-08,19,82,101,35,57,294,1336435200.0
110,Sion,2009-02-21,28,61,66,50,87,292,1235174400.0
81,Nidalee,2009-12-17,68,58,73,49,42,290,1261008000.0
16,Camille,2016-12-07,26,73,56,79,55,289,1481068800.0
137,Vladimir,2010-07-27,28,70,56,73,62,289,1280188800.0
86,Ornn,2017-08-23,31,47,70,49,91,288,1503446400.0
152,Zyra,2012-07-24,26,50,75,77,55,283,1343088000.0
93,Rammus,2009-07-10,11,91,97,38,45,282,1247184000.0
26,Evelynn,2009-05-01,24,64,91,71,30,280,1241136000.0
38,Heimerdinger,2009-10-10,12,30,62,50,125,279,1255132800.0
29,Fiora,2012-02-29,38,44,60,36,97,275,1330473600.0
136,Viktor,2011-12-29,12,76,62,48,77,275,1325116800.0
107,Shen,2010-03-24,17,105,58,44,50,274,1269388800.0
88,Poppy,2010-01-13,19,51,69,44,88,271,1263340800.0
19,Corki,2009-09-19,30,44,81,65,48,268,1253318400.0
14,Braum,2014-05-12,50,38,46,55,77,266,1399852800.0
105,Sett,2020-01-14,30,39,84,48,62,263,1578960000.0
89,Pyke,2018-05-31,31,47,41,45,96,260,1527724800.0
138,Volibear,2011-11-29,20,64,48,58,68,258,1322524800.0
62,LeeSin,2011-04-01,17,67,67,59,47,257,1301616000.0
95,Rell,2020-12-09,21,61,63,73,35,253,1607472000.0
113,Sona,2010-09-21,25,60,63,63,42,253,1285027200.0
30,Fizz,2011-11-15,16,17,77,60,82,252,1321315200.0
99,Rumble,2011-04-26,48,39,46,61,56,250,1303776000.0
98,Riven,2011-09-14,16,103,29,28,71,247,1315958400.0
91,Quinn,2013-03-01,23,59,38,43,82,245,1362096000.0
143,Yasuo,2013-12-13,28,80,12,59,65,244,1386892800.0
67,Lulu,2012-03-20,26,47,58,82,31,244,1332201600.0
139,Warwick,2009-02-21,27,62,68,31,54,242,1235174400.0
151,Zoe,2017-11-21,12,53,93,57,25,240,1511222400.0
145,Yorick,2011-06-22,15,67,24,53,79,238,1308700800.0
